"","X","SITE_ID","LOCATION_LAT","LOCATION_LONG","avg_WS","avg_ustar","HEIGHTC","SENSOR_HEIGHT","ZM_F","ZM_QC"
"1",1,"AR-CCa",-35.621,-61.3181,NA,NA,NA,3.8,2.6609624017112,0
"2",2,"AR-CCg",-35.9244,-61.1855,NA,NA,NA,4.55,3.11808540270801,0
"3",3,"AR-TF1",-54.9733,-66.7335,4.30466666666667,0.3060185465,NA,2.33,1.76500131975743,0
"4",4,"AR-TF2",-54.8269,-68.4549,NA,NA,NA,2.32,1.75890634641081,0
"5",5,"BR-Cax",-1.7185,-51.4583,NA,NA,NA,NA,NA,0
"6",6,"BR-CST",-7.9682,-38.3842,1.43,0.46811242,NA,10,6.43984587661822,0
"7",7,"BR-Ji1",-10.7618,-62.3572,NA,NA,NA,NA,NA,0
"8",8,"BR-Ji3",-10.1866,-61.8725,NA,NA,NA,NA,NA,0
"9",9,"BR-Ma2",-2.6091,-60.2093,NA,NA,35,NA,NA,0
"10",10,"BR-Ma3",-2.3907,-59.8835,NA,NA,NA,NA,NA,0
"11",11,"BR-Moj",-1.9787,-48.6147,NA,NA,NA,NA,NA,0
"12",12,"BR-Npw",-16.498,-56.412,1.6544,0.231342682,NA,20,12.5348192232425,0
"13",13,"BR-Sa1",-2.8567,-54.9589,1.9697,0.301403988428571,25.155,57.9,41.13,1
"14",14,"BR-Sa3",-3.018,-54.9714,2.0698,0.294764287,25,64,47.3333333333333,1
"15",15,"BR-SGC",0.2101,-66.7529,NA,NA,NA,NA,NA,0
"16",16,"CA-AF1",46.0092,-66.3627,NA,NA,NA,NA,NA,0
"17",17,"CA-ARB",52.695,-83.9452,4.5778,0.3384661558,NA,7.3,4.79420307302968,0
"18",18,"CA-ARF",52.7008,-83.955,3.8702,0.398569971,NA,7.2,4.73325333956344,0
"19",19,"CA-BOU",50.5244,-63.2064,NA,NA,NA,2.2,1.68576666625132,0
"20",20,"CA-Ca1",49.8673,-125.3336,1.76493333333333,0.302283551153846,32.5,43,21.3333333333333,1
"21",21,"CA-Ca2",49.8705,-125.2909,0.731583333333333,0.1340429894,1,2.5,1.83333333333333,1
"22",22,"CA-Ca3",49.5346,-124.9004,NA,NA,7.57,18,12.9533333333333,1
"23",23,"CA-Cbo",44.3167,-79.9333,2.37614814814815,0.503382761791667,NA,44,27.1627552551406,0
"24",24,"CA-CF1",58.6658,-93.83,4.423,NA,NA,4,2.78286186864368,0
"25",25,"CA-CF2",58.6658,-93.83,NA,NA,NA,4,2.78286186864368,0
"26",26,"CA-CF3",58.6658,-93.8304,NA,NA,NA,NA,NA,0
"27",27,"CA-Cha",45.8847,-67.3569,NA,NA,NA,21,13.1443165579049,0
