"","SITE_ID","HEIGHTC_DATE","HEIGHTC_STATISTIC","HEIGHTC","D","SENSOR_HEIGHT","ZM"
"1","BR-Sa1","20120821","Mean",25.155,16.77,57.9,41.13
"2","BR-Sa3","2002","Expert estimate",25,16.6666666666667,64,47.3333333333333
"3","CA-Ca1",NA,NA,32.5,21.6666666666667,43,21.3333333333333
"4","CA-Ca2","2000",NA,1,0.666666666666667,2.5,1.83333333333333
"5","CA-Ca3","20021105",NA,7.57,5.04666666666667,18,12.9533333333333
"6","CA-Gro","2003","Mean",31,20.6666666666667,43,22.3333333333333
"7","CA-Man","1994","Mean",9.1,6.06666666666667,29,22.9333333333333
"8","CA-NS1","2003","Expert estimate",16,10.6666666666667,24,13.3333333333333
"9","CA-NS2","2003","Expert estimate",16,10.6666666666667,20,9.33333333333333
"10","CA-NS4","2004","Expert estimate",2,1.33333333333333,10,8.66666666666667
"11","CA-NS5","2003","Expert estimate",5,3.33333333333333,9,5.66666666666667
"12","CA-NS6","2003","Expert estimate",2,1.33333333333333,6,4.66666666666667
"13","CA-NS7","2003","Expert estimate",1,0.666666666666667,6,5.33333333333333
"14","CA-Oas","1996","Mean",21,14,38,24
"15","CA-Obs","1993","Mean",11,7.33333333333333,26,18.6666666666667
"16","CA-Qfo","20031002","Mean",13.8,9.2,24,14.8
"17","CA-SF1","20030701","Mean",6,4,12.1,8.1
"18","CA-SF2","20030701","Mean",4,2.66666666666667,9.144,6.47733333333333
"19","CA-SF3","20030701","Mean",18,12,18.288,6.288
"20","CA-SJ1","2002",NA,1.7,1.13333333333333,10,8.86666666666667
"21","CA-SJ2","20050513",NA,0.19,0.126666666666667,5,4.87333333333333
"22","CA-TP1","20151020","Mean",6.5,4.33333333333333,13.6,9.26666666666667
"23","CA-TP2","20070927","Mean",11.5,7.66666666666667,12,4.33333333333333
"24","CA-TP3","20121016","Mean",16.2,10.8,20.5,9.7
"25","CA-TP4","20121015","Mean",23.4,15.6,34.3,18.7
