product,year,SITE_ID,ffp_radius,agb_Mg_ha
gedi,2019-2023,US-KPL,1045.9351844232294,NA
gedi,2019-2023,US-YK1,1045.9351844232294,NA
gedi,2019-2023,US-YK2,1045.9351844232294,NA
gedi,2019-2023,CA-LP1,6132.691627299235,NA
gedi,2019-2023,US-BMM,1045.9351844232294,35.329254150390625
gedi,2019-2023,US-CPk,1045.9351844232294,30.962060928344727
gedi,2019-2023,US-GBT,10499.711915254986,42.90242385864258
gedi,2019-2023,US-GLE,10067.071676679945,42.48941421508789
gedi,2019-2023,US-MC1,1045.9351844232294,15.727301597595215
gedi,2019-2023,US-MC2,1045.9351844232294,18.23155975341797
gedi,2019-2023,US-MG1,1045.9351844232294,20.230052947998047
gedi,2019-2023,US-MH1,1045.9351844232294,4.559333324432373
gedi,2019-2023,US-MH2,1045.9351844232294,2.9990108013153076
gedi,2019-2023,US-Mj1,1045.9351844232294,3.3300423622131348
gedi,2019-2023,US-Mj2,1045.9351844232294,1.7045786380767822
gedi,2019-2023,US-MSR,1045.9351844232294,1.2566967010498047
gedi,2019-2023,US-MVF,1045.9351844232294,1.0259853601455688
gedi,2019-2023,US-MVW,1045.9351844232294,1.3790490627288818
gedi,2019-2023,US-Ne1,785.3881789095175,2.7497856616973877
gedi,2019-2023,US-Ne2,1273.5440435279145,2.336411952972412
gedi,2019-2023,US-Ne3,1451.1060575465483,4.134645938873291
gedi,2019-2023,US-SdH,1045.9351844232294,2.5425539016723633
gedi,2019-2023,US-Sta,358.8488786130882,1.7176083326339722
gedi,2019-2023,US-TEF,1045.9351844232294,92.23707580566406
gedi,2019-2023,US-Tur,1045.9351844232294,4.535428524017334
gedi,2019-2023,US-xCP,1919.6556282048095,1.2955479621887207
gedi,2019-2023,US-xSL,1744.0586392753248,1.378190517425537
gedi,2019-2023,US-xYE,2399.9206375635467,30.362388610839844
gedi,2019-2023,US-A32,276.962908074132,1.4299770593643188
gedi,2019-2023,US-A39,1045.9351844232294,58.795936584472656
gedi,2019-2023,US-A74,300.13801459473996,1.296104073524475
gedi,2019-2023,US-AaG,1045.9351844232294,27.043184280395508
gedi,2019-2023,US-AR1,256.7290203701362,4.0750579833984375
gedi,2019-2023,US-AR2,327.6968333668247,2.5637452602386475
gedi,2019-2023,US-ARb,495.2754897925057,1.558557152748108
gedi,2019-2023,US-ARc,512.4909151211989,1.6605510711669922
gedi,2019-2023,US-ARM,189647.3929949317,13.010923385620117
gedi,2019-2023,US-Bd4,1045.9351844232294,13.140992164611816
gedi,2019-2023,US-Bd5,1045.9351844232294,11.575358390808105
gedi,2019-2023,US-Bd6,1045.9351844232294,11.592984199523926
gedi,2019-2023,US-BdA,1045.9351844232294,11.428683280944824
gedi,2019-2023,US-BdC,1045.9351844232294,11.448101043701172
gedi,2019-2023,US-Cst,1045.9351844232294,140.81704711914063
gedi,2019-2023,US-HRA,1045.9351844232294,13.993249893188477
gedi,2019-2023,US-HRC,1045.9351844232294,9.467427253723145
gedi,2019-2023,US-KFB,1045.9351844232294,4.215831756591797
gedi,2019-2023,US-KFS,176.18335595324584,21.224817276000977
gedi,2019-2023,US-KLS,149.8720772439962,18.276660919189453
gedi,2019-2023,US-Kon,196.45264441892957,4.394733428955078
gedi,2019-2023,US-LL1,1045.9351844232294,98.12886810302734
gedi,2019-2023,US-LL2,1045.9351844232294,74.22926330566406
gedi,2019-2023,US-LL3,1045.9351844232294,81.05777740478516
gedi,2019-2023,US-LU1,1045.9351844232294,67.80967712402344
gedi,2019-2023,US-Mo1,270.12174811136157,7.926002502441406
gedi,2019-2023,US-Mo2,246.11436070532656,24.363609313964844
gedi,2019-2023,US-Mo3,241.20084472089067,30.203296661376953
gedi,2019-2023,US-MOz,5106.198864085323,129.55104064941406
gedi,2019-2023,US-OF1,1045.9351844232294,10.100489616394043
gedi,2019-2023,US-OF2,1045.9351844232294,10.326037406921387
gedi,2019-2023,US-RGA,387.58949029995483,11.71829605102539
gedi,2019-2023,US-RGW,1045.9351844232294,10.047872543334961
gedi,2019-2023,US-Wlr,1045.9351844232294,3.201664686203003
gedi,2019-2023,US-xDL,14799.226238012003,103.08493041992188
gedi,2019-2023,US-xJE,21031.311289569847,44.427242279052734
gedi,2019-2023,US-xKA,1411.3167997153346,24.529329299926758
gedi,2019-2023,US-xKZ,1705.0644794886884,9.306570053100586
gedi,2019-2023,US-xLE,1045.9351844232294,131.9117431640625
gedi,2019-2023,US-xTA,16278.557876931909,162.55841064453125
gedi,2019-2023,US-xUK,15728.907527781594,36.49198532104492
gedi,2019-2023,US-BCM,1045.9351844232294,11.424609184265137
gedi,2019-2023,US-DCS,1045.9351844232294,27.02556037902832
gedi,2019-2023,US-DPP,1045.9351844232294,27.237199783325195
gedi,2019-2023,US-DPW,1045.9351844232294,33.806304931640625
gedi,2019-2023,US-Elm,1045.9351844232294,7.443229675292969
gedi,2019-2023,US-Esm,1045.9351844232294,4.431814193725586
gedi,2019-2023,US-EvM,1045.9351844232294,2.164910078048706
gedi,2019-2023,US-FBE,1045.9351844232294,0.26258373260498047
gedi,2019-2023,US-IL1,1045.9351844232294,15.528974533081055
gedi,2019-2023,US-KS1,2860.6526689715356,30.925594329833984
gedi,2019-2023,US-KS2,232.80205294782715,25.508716583251953
gedi,2019-2023,US-KS3,168.49597030077553,0.8811811804771423
gedi,2019-2023,US-LA3,1045.9351844232294,0.48431217670440674
gedi,2019-2023,US-ONA,115.18101014024182,20.351455688476563
gedi,2019-2023,US-PAS,1045.9351844232294,19.06066131591797
gedi,2019-2023,US-PiU,1045.9351844232294,36.45623016357422
gedi,2019-2023,US-SP1,1045.9351844232294,106.76834869384766
gedi,2019-2023,US-SP2,1045.9351844232294,77.00860595703125
gedi,2019-2023,US-SP3,1045.9351844232294,68.12993621826172
gedi,2019-2023,US-SP4,1045.9351844232294,69.50335693359375
gedi,2019-2023,US-TaS,1045.9351844232294,10.583691596984863
gedi,2019-2023,US-TCS,1045.9351844232294,61.32126998901367
gedi,2019-2023,US-xDS,1252.599927055223,31.77345085144043
gedi,2019-2023,US-xSB,14217.051591239375,69.2599105834961
gedi,2019-2023,PA-Bar,1045.9351844232294,238.7772216796875
gedi,2019-2023,PA-Bas,1045.9351844232294,237.995361328125
gedi,2019-2023,PE-BRE,1045.9351844232294,325.2818298339844
gedi,2019-2023,PE-PAN,1045.9351844232294,221.60939025878906
gedi,2019-2023,PE-QFR,14737.218571099364,99.5621566772461
gedi,2019-2023,BR-Ji1,1045.9351844232294,4.088842391967773
gedi,2019-2023,BR-Ji3,1045.9351844232294,246.12591552734375
gedi,2019-2023,PE-AMG,1045.9351844232294,227.95126342773438
gedi,2019-2023,US-BZB,113.93578129499174,NA
gedi,2019-2023,US-BZF,88.12055780618766,NA
gedi,2019-2023,US-BZL,1045.9351844232294,NA
gedi,2019-2023,US-BZo,63.60002001523529,NA
gedi,2019-2023,US-BZS,242.47626018983433,NA
gedi,2019-2023,US-EML,369.0702767896844,NA
gedi,2019-2023,US-Fcr,46.395173579662156,NA
gedi,2019-2023,US-NGC,180.37073255071402,NA
gedi,2019-2023,US-Prr,1045.9351844232294,NA
gedi,2019-2023,US-Rpf,349.72231589232547,NA
gedi,2019-2023,US-Uaf,1045.9351844232294,NA
gedi,2019-2023,US-xBN,5095.760666694362,NA
gedi,2019-2023,US-xDJ,6404.113496917734,NA
gedi,2019-2023,US-xHE,1950.610761122832,NA
gedi,2019-2023,CA-EM1,1045.9351844232294,12.797286987304688
gedi,2019-2023,CA-EM2,1045.9351844232294,12.78993034362793
gedi,2019-2023,CA-EM3,1045.9351844232294,2.379286527633667
gedi,2019-2023,CA-MA1,235.83040687669495,2.577033042907715
gedi,2019-2023,CA-MA2,235.81460708367464,23.264179229736328
gedi,2019-2023,CA-MA3,1045.9351844232294,17.25811195373535
gedi,2019-2023,CA-Oas,13826.133862217232,NA
gedi,2019-2023,CA-Obs,10195.218112627479,NA
gedi,2019-2023,CA-SF1,1482.8899171925564,NA
gedi,2019-2023,CA-SF2,842.5461338901958,NA
gedi,2019-2023,CA-SF3,836.6047709479343,NA
gedi,2019-2023,CA-SJ1,1045.9351844232294,NA
gedi,2019-2023,CA-SJ2,1045.9351844232294,NA
gedi,2019-2023,US-ALQ,58.61936630980505,164.71493530273438
gedi,2019-2023,US-AMS,1045.9351844232294,66.9104995727539
gedi,2019-2023,US-AoL,1045.9351844232294,52.24220657348633
gedi,2019-2023,US-Bo1,1045.9351844232294,3.913276433944702
gedi,2019-2023,US-Bo2,1045.9351844232294,3.9175350666046143
gedi,2019-2023,US-CC1,1045.9351844232294,42.86880874633789
gedi,2019-2023,US-CC2,1045.9351844232294,47.369773864746094
gedi,2019-2023,US-CRT,133.97310856278727,13.810546875
gedi,2019-2023,US-CS1,1045.9351844232294,27.39474105834961
gedi,2019-2023,US-CS2,6875.6351620697915,46.77401351928711
gedi,2019-2023,US-CS3,172.84245001824547,12.997706413269043
gedi,2019-2023,US-CS4,158.95752414097095,18.98900032043457
gedi,2019-2023,US-CS5,1045.9351844232294,26.75429916381836
gedi,2019-2023,US-CS6,1045.9351844232294,22.24272346496582
gedi,2019-2023,US-CS7,1045.9351844232294,35.031410217285156
gedi,2019-2023,US-CS8,1045.9351844232294,32.42105484008789
gedi,2019-2023,US-DFC,12652.700120068024,63.82931137084961
gedi,2019-2023,US-DFK,1045.9351844232294,28.661907196044922
gedi,2019-2023,US-IB1,1045.9351844232294,9.60843563079834
gedi,2019-2023,US-IB2,298.0940420502083,6.579987525939941
gedi,2019-2023,US-INn,1045.9351844232294,11.493541717529297
gedi,2019-2023,US-INp,1045.9351844232294,10.847872734069824
gedi,2019-2023,US-KL1,1045.9351844232294,64.38226318359375
gedi,2019-2023,US-KL2,1045.9351844232294,58.47487258911133
gedi,2019-2023,US-KL3,1045.9351844232294,46.19306945800781
gedi,2019-2023,US-KM1,1045.9351844232294,66.51702117919922
gedi,2019-2023,US-KM2,1045.9351844232294,75.2757797241211
gedi,2019-2023,US-KM3,1045.9351844232294,70.948974609375
gedi,2019-2023,US-KM4,1045.9351844232294,61.67204284667969
gedi,2019-2023,US-KUO,1045.9351844232294,28.969511032104492
gedi,2019-2023,US-KUT,1045.9351844232294,27.05083656311035
gedi,2019-2023,US-Los,2481.6016270668297,66.94287109375
gedi,2019-2023,US-MBP,1045.9351844232294,136.79446411132813
gedi,2019-2023,US-Men,1045.9351844232294,10.829423904418945
gedi,2019-2023,US-Mi2,1045.9351844232294,109.82415771484375
gedi,2019-2023,US-MN1,1045.9351844232294,2.8996479511260986
gedi,2019-2023,US-MN2,1045.9351844232294,2.913483142852783
gedi,2019-2023,US-MN3,1045.9351844232294,3.582207441329956
gedi,2019-2023,US-NMj,1045.9351844232294,61.745845794677734
gedi,2019-2023,US-NP1,1045.9351844232294,3.8727383613586426
gedi,2019-2023,US-NP2,1045.9351844232294,2.9003303050994873
gedi,2019-2023,US-Oho,5574.394280222002,127.9784164428711
gedi,2019-2023,US-ORv,1371.284056149327,21.051044464111328
gedi,2019-2023,US-OWC,1045.9351844232294,65.55938720703125
gedi,2019-2023,US-PFa,6052263.320243564,59.858150482177734
gedi,2019-2023,US-PFb,1045.9351844232294,110.5996322631836
gedi,2019-2023,US-PFc,1045.9351844232294,113.30850982666016
gedi,2019-2023,US-PFd,1045.9351844232294,107.74156188964844
gedi,2019-2023,US-PFe,1045.9351844232294,110.81856536865234
gedi,2019-2023,US-PFf,1045.9351844232294,104.72628021240234
gedi,2019-2023,US-PFg,1045.9351844232294,150.9827423095703
gedi,2019-2023,US-PFh,1045.9351844232294,304.7066650390625
gedi,2019-2023,US-PFi,1045.9351844232294,312.0482482910156
gedi,2019-2023,US-PFj,1045.9351844232294,476.2180480957031
gedi,2019-2023,US-PFk,1045.9351844232294,99.73602294921875
gedi,2019-2023,US-PFL,1045.9351844232294,80.36705780029297
gedi,2019-2023,US-PFm,1045.9351844232294,90.471343994140625
gedi,2019-2023,US-PFn,1045.9351844232294,107.24517059326172
gedi,2019-2023,US-PFo,1045.9351844232294,121.66497802734375
gedi,2019-2023,US-PFp,1045.9351844232294,123.24237823486328
gedi,2019-2023,US-PFq,1045.9351844232294,142.01507568359375
gedi,2019-2023,US-PFr,1045.9351844232294,128.53955078125
gedi,2019-2023,US-PFs,1045.9351844232294,152.7899932861328
gedi,2019-2023,US-PFt,1045.9351844232294,67.95081329345703
gedi,2019-2023,US-Pnp,2375.972811115614,16.806020736694336
gedi,2019-2023,US-Ro1,270.5210136945632,16.679773330688477
gedi,2019-2023,US-Ro2,171.60816755937435,16.456071853637695
gedi,2019-2023,US-Ro3,1045.9351844232294,14.407380104064941
gedi,2019-2023,US-Ro4,104.67685075539566,12.547521591186523
gedi,2019-2023,US-Ro5,364.6020542150154,22.00414276123047
gedi,2019-2023,US-Ro6,134.80660829763357,22.088077545166016
gedi,2019-2023,US-Syv,6175.59229091929,129.34298706054688
gedi,2019-2023,US-TrB,1045.9351844232294,120.50440979003906
gedi,2019-2023,US-TrS,1045.9351844232294,134.629150390625
gedi,2019-2023,US-UiA,1045.9351844232294,3.8278729915618896
gedi,2019-2023,US-UiB,1045.9351844232294,2.663379430770874
gedi,2019-2023,US-UiC,1045.9351844232294,2.7081398963928223
